mes_numero,dia_numero,tipo_dia,lectura_biblica,versiculo_diario
1,1,"NORMAL","Salmos 1:1-6",""
1,2,"NORMAL","Proverbios 3:5-6",""
1,3,"NORMAL","Mateo 7:24-27",""
1,4,"NORMAL","Lucas 6:46-49",""
1,5,"DOMINGO","","Reflexión: La Disciplina de la Lectura y Meditación."
1,6,"NORMAL","Isaías 40:28-31",""
1,7,"NORMAL","Romanos 5:3-5",""
1,8,"NORMAL","Hebreos 10:35-36",""
1,9,"NORMAL","Santiago 1:2-4",""
1,10,"NORMAL","2 Corintios 4:16-18",""
1,11,"NORMAL","Efesios 3:14-19",""
1,12,"DOMINGO","","Reflexión: Paciencia y Perseverancia en la Formación del Carácter."
1,13,"NORMAL","Colosenses 2:6-7",""
1,14,"NORMAL","Salmos 92:12-15",""
1,15,"NORMAL","Jeremías 17:7-8",""
1,16,"NORMAL","Juan 15:4-5",""
1,17,"NORMAL","Filipenses 4:13",""
1,18,"NORMAL","Gálatas 5:22-23",""
1,19,"DOMINGO","","Viviendo sin Ansiedad: La Confianza en el Proveedor."
1,20,"NORMAL","1 Pedro 5:7",""
1,21,"NORMAL","Mateo 6:25-34",""
1,22,"NORMAL","Salmos 37:23-24",""
1,23,"NORMAL","Proverbios 16:3",""
1,24,"NORMAL","Romanos 8:28",""
1,25,"NORMAL","1 Corintios 15:58",""
1,26,"DOMINGO","","La Palabra como Fundamento Inmutable para el Futuro."
1,27,"NORMAL","Isaías 55:10-11",""
1,28,"NORMAL","2 Timoteo 2:15",""
1,29,"NORMAL","Salmos 119:105",""
1,30,"NORMAL","Hebreos 4:12",""
1,31,"NORMAL","Juan 8:31-32",""
2,1,"NORMAL","Lucas 11:1-13",""
2,2,"NORMAL","Mateo 6:6-8",""
2,3,"NORMAL","Santiago 5:16",""
2,4,"NORMAL","1 Juan 5:14-15",""
2,5,"NORMAL","Marcos 11:24",""
2,6,"NORMAL","Hechos 4:31",""
2,7,"NORMAL","Romanos 8:26-27",""
2,8,"DOMINGO","","Reflexión: La Oración con Fervor y Fe."
2,9,"NORMAL","Lucas 18:1-8",""
2,10,"NORMAL","1 Tesalonicenses 5:17",""
2,11,"NORMAL","Salmos 4:1-8",""
2,12,"NORMAL","Jeremías 33:3",""
2,13,"NORMAL","Hebreos 4:16",""
2,14,"NORMAL","Filipenses 4:6-7",""
2,15,"DOMINGO","","Reflexión: La Intercesión Profética y Escuchando la Voz de Dios."
2,16,"NORMAL","Isaías 59:1-2",""
2,17,"NORMAL","Ezequiel 22:30",""
2,18,"NORMAL","Nehemías 1:1-11",""
2,19,"NORMAL","Hechos 12:5-19",""
2,20,"NORMAL","2 Crónicas 7:14",""
2,21,"NORMAL","Juan 17:1-5",""
2,22,"DOMINGO","","Reflexión: La Oración por la Nación y el Liderazgo."
2,23,"NORMAL","Daniel 9:3-19",""
2,24,"NORMAL","Hechos 1:12-14",""
2,25,"NORMAL","Colosenses 4:2",""
2,26,"NORMAL","Efesios 6:18",""
2,27,"NORMAL","Mateo 9:38",""
2,28,"NORMAL","Salmos 141:1-10",""
3,1,"NORMAL","Colosenses 3:23-24",""
3,2,"NORMAL","1 Corintios 10:31",""
3,3,"NORMAL","2 Timoteo 2:15",""
3,4,"NORMAL","Mateo 25:21",""
3,5,"NORMAL","Proverbios 12:24",""
3,6,"NORMAL","Romanos 12:11",""
3,7,"NORMAL","1 Corintios 15:58",""
3,8,"NORMAL","Efesios 4:1-3",""
3,9,"DOMINGO","","Reflexión: Descubriendo tus dones y el lugar en el Cuerpo."
3,10,"NORMAL","Filipenses 2:14-16",""
3,11,"NORMAL","Tito 2:7-8",""
3,12,"NORMAL","1 Pedro 4:10-11",""
3,13,"NORMAL","Romanos 12:6-8",""
3,14,"NORMAL","1 Corintios 12:4-7",""
3,15,"NORMAL","Efesios 2:10",""
3,16,"DOMINGO","","Reflexión: Motivación y actitud del siervo fiel."
3,17,"NORMAL","Hebreos 6:10",""
3,18,"NORMAL","Gálatas 6:9-10",""
3,19,"NORMAL","Proverbios 22:29",""
3,20,"NORMAL","1 Timoteo 4:12",""
3,21,"NORMAL","Lucas 19:17",""
3,22,"NORMAL","Juan 13:1-5",""
3,23,"DOMINGO","","Reflexión: Excelencia: Honrando a Dios con nuestro trabajo."
3,24,"NORMAL","Salmos 100:1-5",""
3,25,"NORMAL","Mateo 5:16",""
3,26,"NORMAL","2 Corintios 8:12",""
3,27,"NORMAL","1 Corintios 9:24-27",""
3,28,"NORMAL","Proverbios 14:23",""
3,29,"NORMAL","Hebreos 10:24-25",""
3,30,"DOMINGO","","Reflexión: La obediencia y el servicio como culto racional."
3,31,"NORMAL","Lucas 17:10",""
4,1,"NORMAL","Malaquías 3:8-12",""
4,2,"NORMAL","Proverbios 3:9-10",""
4,3,"NORMAL","Lucas 6:38",""
4,4,"NORMAL","2 Corintios 9:6-11",""
4,5,"NORMAL","Filipenses 4:19",""
4,6,"DOMINGO","","Reflexión: El principio del Diezmo y la Fidelidad."
4,7,"NORMAL","Génesis 26:12-14",""
4,8,"NORMAL","Deuteronomio 8:18",""
4,9,"NORMAL","Mateo 6:24-34",""
4,10,"NORMAL","Salmos 23:1-6",""
4,11,"NORMAL","Proverbios 10:4",""
4,12,"NORMAL","1 Timoteo 6:10-12",""
4,13,"DOMINGO","","Reflexión: La Fe para la Provisión y la Mayordomía."
4,14,"NORMAL","Hebreos 13:5",""
4,15,"NORMAL","Mateo 25:14-30",""
4,16,"NORMAL","Gálatas 6:7-10",""
4,17,"NORMAL","Lucas 16:10-13",""
4,18,"NORMAL","Proverbios 22:7",""
4,19,"NORMAL","Deuteronomio 28:1-14",""
4,20,"DOMINGO","","Reflexión: El Orden Financiero y la Liberación de Deudas."
4,21,"NORMAL","Isaías 1:19",""
4,22,"NORMAL","Romanos 13:8",""
4,23,"NORMAL","Proverbios 11:24-25",""
4,24,"NORMAL","2 Corintios 8:7",""
4,25,"NORMAL","Hechos 4:32-35",""
4,26,"NORMAL","Efesios 4:28",""
4,27,"DOMINGO","","Reflexión: La Generosidad y la Multiplicación en el Reino."
4,28,"NORMAL","1 Crónicas 29:11-12",""
4,29,"NORMAL","Mateo 7:11",""
4,30,"NORMAL","Salmos 37:25-26",""
5,1,"NORMAL","Habacuc 2:2-3",""
5,2,"NORMAL","Proverbios 16:3",""
5,3,"NORMAL","Isaías 42:9",""
5,4,"DOMINGO","","Reflexión: Escribiendo la Visión y el Propósito de Dios."
5,5,"NORMAL","Jeremías 29:11",""
5,6,"NORMAL","Filipenses 3:13-14",""
5,7,"NORMAL","Proverbios 4:25-27",""
5,8,"NORMAL","Salmos 37:4-5",""
5,9,"NORMAL","Hechos 1:8",""
5,10,"NORMAL","Mateo 6:10",""
5,11,"DOMINGO","","Reflexión: La Fe para Ver lo Invisible."
5,12,"NORMAL","Isaías 54:2-3",""
5,13,"NORMAL","Marcos 11:24",""
5,14,"NORMAL","Romanos 5:5",""
5,15,"NORMAL","1 Corintios 2:9-10",""
5,16,"NORMAL","2 Pedro 3:13",""
5,17,"NORMAL","Apocalipsis 21:1-5",""
5,18,"DOMINGO","","Reflexión: El Legado y la Ley de la Multiplicación."
5,19,"NORMAL","Colosenses 1:9-10",""
5,20,"NORMAL","1 Corintios 3:6-9",""
5,21,"NORMAL","Isaías 43:18-19",""
5,22,"NORMAL","Lucas 12:48",""
5,23,"NORMAL","Mateo 24:14",""
5,24,"NORMAL","Proverbios 28:18",""
5,25,"DOMINGO","","Reflexión: Vivir con Perspectiva Eterna y Recompensa."
5,26,"NORMAL","Juan 1:12",""
5,27,"NORMAL","2 Timoteo 1:7",""
5,28,"NORMAL","Hechos 2:17",""
5,29,"NORMAL","Mateo 25:31-46",""
5,30,"NORMAL","Gálatas 5:1",""
5,31,"NORMAL","Hebreos 10:35-36",""
6,1,"DOMINGO","","Reflexión: El Fundamento del Matrimonio en Cristo."
6,2,"NORMAL","Efesios 5:22-33",""
6,3,"NORMAL","Efesios 6:1-4",""
6,4,"NORMAL","Colosenses 3:18-21",""
6,5,"NORMAL","Proverbios 31:10-31",""
6,6,"NORMAL","1 Pedro 3:1-7",""
6,7,"NORMAL","Malaquías 4:5-6",""
6,8,"DOMINGO","","Reflexión: Criando Hijos en el temor del Señor."
6,9,"NORMAL","Salmos 127:1-5",""
6,10,"NORMAL","Deuteronomio 6:4-9",""
6,11,"NORMAL","Proverbios 22:6",""
6,12,"NORMAL","1 Corintios 7:1-5",""
6,13,"NORMAL","Hechos 16:31-34",""
6,14,"NORMAL","Génesis 2:24",""
6,15,"DOMINGO","","Reflexión: La Resolución de Conflictos y el Perdón."
6,16,"NORMAL","Romanos 12:17-21",""
6,17,"NORMAL","Efesios 4:26-27",""
6,18,"NORMAL","Proverbios 15:1",""
6,19,"NORMAL","Colosenses 3:13",""
6,20,"NORMAL","Hebreos 12:14",""
6,21,"NORMAL","Mateo 5:9",""
6,22,"DOMINGO","","Reflexión: La Paz de Dios en el Hogar."
6,23,"NORMAL","Proverbios 18:22",""
6,24,"NORMAL","Marcos 10:9",""
6,25,"NORMAL","Tito 2:3-5",""
6,26,"NORMAL","1 Timoteo 3:4-5",""
6,27,"NORMAL","Salmos 128:1-6",""
6,28,"NORMAL","Hechos 10:1-2",""
6,29,"DOMINGO","","Reflexión: Estableciendo un Altar Familiar de Adoración."
6,30,"NORMAL","Proverbios 17:1",""
7,1,"NORMAL","Hechos 2:1-4",""
7,2,"NORMAL","Hechos 19:1-7",""
7,3,"NORMAL","1 Corintios 12:7-11",""
7,4,"NORMAL","Hechos 10:44-48",""
7,5,"NORMAL","Juan 14:16-17",""
7,6,"DOMINGO","","Reflexión: El Bautismo en el Espíritu Santo y sus Evidencias."
7,7,"NORMAL","Hechos 4:29-31",""
7,8,"NORMAL","Efesios 5:18-21",""
7,9,"NORMAL","Romanos 8:9-11",""
7,10,"NORMAL","Gálatas 5:22-25",""
7,11,"NORMAL","1 Corintios 14:14-15",""
7,12,"NORMAL","Romanos 8:26-27",""
7,13,"DOMINGO","","Reflexión: El Espíritu como Consolador, Guía e Intercesor."
7,14,"NORMAL","Lucas 11:13",""
7,15,"NORMAL","Juan 16:7-11",""
7,16,"NORMAL","Joel 2:28-29",""
7,17,"NORMAL","Ezequiel 36:26-27",""
7,18,"NORMAL","Hechos 8:14-17",""
7,19,"NORMAL","1 Corintios 2:4-5",""
7,20,"DOMINGO","","Reflexión: El Fruto del Espíritu vs. las Obras de la Carne."
7,21,"NORMAL","Hechos 5:32",""
7,22,"NORMAL","2 Timoteo 1:7",""
7,23,"NORMAL","Isaías 61:1-3",""
7,24,"NORMAL","Miqueas 3:8",""
7,25,"NORMAL","Hechos 13:52",""
7,26,"NORMAL","Zacarías 4:6",""
7,27,"DOMINGO","","Reflexión: Viviendo la Plenitud del Espíritu Diariamente."
7,28,"NORMAL","Efesios 1:13-14",""
7,29,"NORMAL","Juan 7:38-39",""
7,30,"NORMAL","Mateo 3:11",""
7,31,"NORMAL","Hechos 11:15-18",""
8,1,"NORMAL","Romanos 8:14-17",""
8,2,"NORMAL","Gálatas 3:26-29",""
8,3,"DOMINGO","","Reflexión: Hijos de Dios: Nuestra Nueva Identidad."
8,4,"NORMAL","2 Corintios 5:17-21",""
8,5,"NORMAL","Efesios 2:4-10",""
8,6,"NORMAL","Juan 1:12-13",""
8,7,"NORMAL","Colosenses 1:13-14",""
8,8,"NORMAL","1 Pedro 2:9-10",""
8,9,"NORMAL","Efesios 1:19-23",""
8,10,"DOMINGO","","Reflexión: La Autoridad Delegada y el Poder para Sanar y Liberar."
8,11,"NORMAL","Mateo 10:1",""
8,12,"NORMAL","Lucas 10:19-20",""
8,13,"NORMAL","Marcos 16:17-18",""
8,14,"NORMAL","Efesios 6:10-17",""
8,15,"NORMAL","2 Corintios 10:4-5",""
8,16,"NORMAL","Santiago 4:7-8",""
8,17,"DOMINGO","","Reflexión: La Guerra Espiritual: Armadura y Estrategia."
8,18,"NORMAL","Hechos 5:12-16",""
8,19,"NORMAL","Isaías 54:17",""
8,20,"NORMAL","Jeremías 1:10",""
8,21,"NORMAL","Romanos 8:37-39",""
8,22,"NORMAL","Mateo 18:18-20",""
8,23,"NORMAL","Apocalipsis 12:11",""
8,24,"DOMINGO","","Reflexión: La Sangre y el Testimonio: Claves de la Victoria."
8,25,"NORMAL","Juan 8:31-36",""
8,26,"NORMAL","Gálatas 5:1",""
8,27,"NORMAL","Colosenses 2:6-7",""
8,28,"NORMAL","Hebreos 13:8",""
8,29,"NORMAL","Juan 14:12",""
8,30,"NORMAL","Hechos 4:13",""
8,31,"DOMINGO","","Reflexión: Viviendo como más que Vencedores en Cristo."
9,1,"NORMAL","Salmos 95:1-7",""
9,2,"NORMAL","Salmos 100:1-5",""
9,3,"NORMAL","Salmos 150:1-6",""
9,4,"NORMAL","Juan 4:23-24",""
9,5,"NORMAL","Hechos 16:25-34",""
9,6,"NORMAL","Salmos 34:1-8",""
9,7,"DOMINGO","","Reflexión: Adoración en Espíritu y en Verdad."
9,8,"NORMAL","Hebreos 13:15",""
9,9,"NORMAL","Salmos 42:1-5",""
9,10,"NORMAL","Salmos 51:10-12",""
9,11,"NORMAL","Salmos 63:1-8",""
9,12,"NORMAL","Salmos 92:1-5",""
9,13,"NORMAL","Salmos 104:33-35",""
9,14,"DOMINGO","","Reflexión: La Alabanza como Arma de Guerra."
9,15,"NORMAL","Filipenses 4:4-7",""
9,16,"NORMAL","Colosenses 3:16-17",""
9,17,"NORMAL","Efesios 5:18-20",""
9,18,"NORMAL","Apocalipsis 4:8-11",""
9,19,"NORMAL","Salmos 22:3",""
9,20,"NORMAL","Isaías 6:1-8",""
9,21,"DOMINGO","","Reflexión: La Presencia de Dios y la Atmósfera de Adoración."
9,22,"NORMAL","Salmos 29:1-11",""
9,23,"NORMAL","2 Crónicas 20:18-22",""
9,24,"NORMAL","Salmos 47:1-9",""
9,25,"NORMAL","Salmos 73:25-26",""
9,26,"NORMAL","Salmos 145:1-7",""
9,27,"DOMINGO","","Reflexión: Nuestro Cuerpo como Templo de Adoración."
9,28,"NORMAL","Romanos 12:1",""
9,29,"NORMAL","1 Pedro 2:5",""
9,30,"NORMAL","1 Corintios 14:1-5",""
10,1,"NORMAL","Romanos 15:5-7",""
10,2,"NORMAL","Efesios 4:31-32",""
10,3,"NORMAL","Colosenses 3:12-14",""
10,4,"NORMAL","1 Pedro 3:8-9",""
10,5,"DOMINGO","","Reflexión: Perdón y Reconciliación en la Comunidad."
10,6,"NORMAL","Romanos 12:10",""
10,7,"NORMAL","Hebreos 10:24-25",""
10,8,"NORMAL","Filipenses 2:1-4",""
10,9,"NORMAL","1 Corintios 12:12-27",""
10,10,"NORMAL","Efesios 4:11-16",""
10,11,"NORMAL","Juan 13:34-35",""
10,12,"DOMINGO","","Reflexión: La Unidad del Cuerpo de Cristo."
10,13,"NORMAL","Gálatas 6:1-2",""
10,14,"NORMAL","1 Tesalonicenses 5:11",""
10,15,"NORMAL","Proverbios 27:6",""
10,16,"NORMAL","Santiago 5:16",""
10,17,"NORMAL","Mateo 18:15-17",""
10,18,"NORMAL","Romanos 14:19",""
10,19,"DOMINGO","","Reflexión: Manejo Bíblico del Conflicto."
10,20,"NORMAL","1 Corintios 1:10",""
10,21,"NORMAL","2 Corintios 13:11",""
10,22,"NORMAL","1 Juan 1:7",""
10,23,"NORMAL","Hebreos 3:12-13",""
10,24,"NORMAL","Colosenses 3:15",""
10,25,"NORMAL","Romanos 15:13",""
10,26,"DOMINGO","","Reflexión: La Caridad (Amor) como Vínculo Perfecto de la Unidad."
10,27,"NORMAL","1 Corintios 13:4-7",""
10,28,"NORMAL","Salmos 34:12-14",""
10,29,"NORMAL","Proverbios 17:17",""
10,30,"NORMAL","Mateo 7:12",""
10,31,"NORMAL","Lucas 6:31",""
11,1,"NORMAL","Efesios 2:10",""
